lEntity	Rela	rEntity	type
airspace consolidation	be	absent	Aorta_tortuous_result_er
lungs	be	clear	Aorta_tortuous_result_er
thoracic spine	have	osteophytes	Aorta_tortuous_result_er
aorta	be	ectatic	Aorta_tortuous_result_er
lung volumes	be	normal	Aorta_tortuous_result_er
osteopenia	be	present	Aorta_tortuous_result_er
aorta	be	prominent	Aorta_tortuous_result_er
aorta	be	calcified	Aorta_tortuous_result_er
lung scarring	be	present	Aorta_tortuous_result_er
apical scarring	be	present	Aorta_tortuous_result_er
aorta	be	tortuous	Aorta_tortuous_result_er
pacemaker	be	present	Aorta_tortuous_result_er
calcified lymph nodes	be	present	Aorta_tortuous_result_er
lungs	have	granulomas	Aorta_tortuous_result_er
pleural effusion	be	absent	Aorta_tortuous_result_er
pleural effusion	be	present	Aorta_tortuous_result_er
pulmonary vasculature	be	engorged	Aorta_tortuous_result_er
vertebral bodies	have	wedge deformities	Aorta_tortuous_result_er
pleural plaques	be	present	Aorta_tortuous_result_er
mediastinum	be	widened	Aorta_tortuous_result_er
hiatal hernia	be	present	Aorta_tortuous_result_er
aorta	have	atherosclerotic calcifications	Aorta_tortuous_result_er
nodules	be	present	Aorta_tortuous_result_er
diaphragm	be	flattened	Aorta_tortuous_result_er
pulmonary edema	be	present	Aorta_tortuous_result_er
lungs	have	interstitial markings	Aorta_tortuous_result_er
CABG	be	present	Aorta_tortuous_result_er
pulmonary vasculature	be	normal	Aorta_tortuous_result_er
ribs	have	fractures	Aorta_tortuous_result_er
trachea	be	midline	Aorta_tortuous_result_er
costophrenic angles	be	blunted	Aorta_tortuous_result_er
aorta	be	unfolded	Aorta_tortuous_result_er
diaphragm	be	elevated	Aorta_tortuous_result_er
heart	have	left ventricular enlargement	Aorta_tortuous_result_er
aortic aneurysm	be	present	Aorta_tortuous_result_er
pneumothorax	be	absent	Aorta_tortuous_result_er
tracheostomy tube	be	present	Aorta_tortuous_result_er
pulmonary hypertension	be	present	Aorta_tortuous_result_er
azygos fissure	be	present	Aorta_tortuous_result_er
mediastinal lymphadenopathy	be	present	Aorta_tortuous_result_er
thoracic spine	have	spondylosis	Aorta_tortuous_result_er
surgical clips	be	present	Aorta_tortuous_result_er
kyphosis	be	present	Aorta_tortuous_result_er
atelectasis	be	present	Aorta_tortuous_result_er
ICD leads	be	present	Aorta_tortuous_result_er
aortic valve replacement	be	present	Aorta_tortuous_result_er
lung volumes	be	low	Aorta_tortuous_result_er
aorta	be	dilated	Aorta_tortuous_result_er
sternotomy wires	be	present	Aorta_tortuous_result_er
pulmonary fibrosis	be	present	Aorta_tortuous_result_er
lungs	be	hyperinflated	Aorta_tortuous_result_er
pulmonary nodules	be	present	Aorta_tortuous_result_er
mitral annular calcification	be	present	Aorta_tortuous_result_er
airspace consolidation	be	present	Aorta_tortuous_result_er
heart	size	borderline	Aorta_tortuous_result_er
aorta	have	aneurysmal enlargement	Aorta_tortuous_result_er
